         40272 function calls (39589 primitive calls) in 4.957 seconds

   Ordered by: cumulative time
   List reduced from 162 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    4.957    4.957 h01_arc_probe.py:52(<lambda>)
        1    0.000    0.000    4.946    4.946 _jit.py:125(jitted_fn)
        1    0.000    0.000    4.940    4.940 traceback_util.py:191(reraise_with_filtered_traceback)
        1    0.000    0.000    4.940    4.940 pjit.py:257(cache_miss)
        1    0.000    0.000    4.938    4.938 pjit.py:133(_run_python_pjit)
        1    0.000    0.000    4.936    4.936 pjit.py:1169(_pjit_call_impl_python)
      3/2    0.000    0.000    4.930    2.465 profiler.py:417(wrapper)
        1    4.927    4.927    4.930    4.930 pxla.py:399(__call__)
        1    0.011    0.011    0.011    0.011 api.py:2666(block_until_ready)
        2    0.000    0.000    0.005    0.003 {jaxlib.utils.safe_map}
      224    0.001    0.000    0.005    0.000 pjit.py:1155(convert_to_metaty)
      896    0.001    0.000    0.003    0.000 array.py:1120(_get_aval_array)
        2    0.000    0.000    0.003    0.002 pxla.py:85(shard_args)
        1    0.000    0.000    0.003    0.003 pxla.py:304(__call__)
      672    0.000    0.000    0.003    0.000 core.py:1930(shaped_abstractify)
        1    0.001    0.001    0.003    0.003 array.py:1228(_array_shard_arg)
        1    0.000    0.000    0.002    0.002 _make_jaxpr.py:633(get_state_trace)
        1    0.000    0.000    0.002    0.002 _make_jaxpr.py:378(get_arg_cache_key)
        1    0.000    0.000    0.002    0.002 _state.py:2557(assign_state_vals_v2)
        1    0.000    0.000    0.002    0.002 _make_jaxpr.py:442(_compilation_is_stale)
  339/113    0.000    0.000    0.002    0.000 _state.py:418(__setattr__)
  339/113    0.001    0.000    0.002    0.000 _state.py:435(_setattr)
     2015    0.001    0.000    0.002    0.000 sharding_impls.py:138(__eq__)
      673    0.000    0.000    0.002    0.000 {built-in method builtins.getattr}
      113    0.000    0.000    0.001    0.000 _state.py:503(value)
