         279770 function calls (261801 primitive calls) in 2.755 seconds

   Ordered by: cumulative time
   List reduced from 1605 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.757    2.757 h01_event_profile.py:87(<lambda>)
      2/1    0.000    0.000    2.757    2.757 _node.py:40(__call__)
        1    0.001    0.001    2.757    2.757 h01_arc_model.py:42(__init__)
   377/39    0.000    0.000    2.723    0.070 traceback_util.py:191(reraise_with_filtered_traceback)
   367/29    0.001    0.000    2.720    0.094 pjit.py:257(cache_miss)
   367/48    0.002    0.000    2.646    0.055 pjit.py:133(_run_python_pjit)
       29    0.001    0.000    2.641    0.091 pjit.py:1169(_pjit_call_impl_python)
  167/124    0.001    0.000    2.597    0.021 profiler.py:417(wrapper)
       29    0.000    0.000    2.318    0.080 pxla.py:1230(compile)
       29    0.002    0.000    2.318    0.080 pxla.py:1707(from_hlo)
       29    0.001    0.000    2.308    0.080 pxla.py:1520(_cached_compilation)
       29    0.001    0.000    2.297    0.079 compiler.py:384(compile_or_get_cached)
       29    0.000    0.000    2.276    0.078 compiler.py:719(_compile_and_write_cache)
       29    2.275    0.078    2.275    0.078 compiler.py:289(backend_compile_and_load)
        3    0.000    0.000    1.618    0.539 _named_scope.py:108(wrapper)
        2    0.000    0.000    1.054    0.527 _state.py:606(normal)
        2    0.000    0.000    1.048    0.524 core.py:912(normal)
  689/536    0.005    0.000    0.927    0.002 core.py:682(bind)
  682/531    0.002    0.000    0.884    0.002 core.py:731(bind_with_trace)
       46    0.000    0.000    0.879    0.019 core.py:1307(process_primitive)
       42    0.007    0.000    0.565    0.013 dispatch.py:81(apply_primitive)
        1    0.000    0.000    0.563    0.563 _state.py:729(uniform)
        9    0.000    0.000    0.370    0.041 indexing.py:1080(rewriting_take)
        3    0.000    0.000    0.324    0.108 _state.py:273(__get_key)
        3    0.000    0.000    0.324    0.108 _state.py:203(split_key)
