         280910 function calls (262941 primitive calls) in 2.576 seconds

   Ordered by: cumulative time
   List reduced from 1605 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.577    2.577 h01_event_profile.py:87(<lambda>)
      2/1    0.000    0.000    2.577    2.577 _node.py:40(__call__)
        1    0.001    0.001    2.577    2.577 h01_arc_model.py:42(__init__)
   377/39    0.000    0.000    2.550    0.065 traceback_util.py:191(reraise_with_filtered_traceback)
   367/29    0.001    0.000    2.547    0.088 pjit.py:257(cache_miss)
   367/48    0.002    0.000    2.481    0.052 pjit.py:133(_run_python_pjit)
       29    0.000    0.000    2.476    0.085 pjit.py:1169(_pjit_call_impl_python)
  167/124    0.001    0.000    2.433    0.020 profiler.py:417(wrapper)
       29    0.000    0.000    2.167    0.075 pxla.py:1230(compile)
       29    0.002    0.000    2.166    0.075 pxla.py:1707(from_hlo)
       29    0.001    0.000    2.157    0.074 pxla.py:1520(_cached_compilation)
       29    0.001    0.000    2.147    0.074 compiler.py:384(compile_or_get_cached)
       29    0.000    0.000    2.127    0.073 compiler.py:719(_compile_and_write_cache)
       29    2.126    0.073    2.126    0.073 compiler.py:289(backend_compile_and_load)
        3    0.000    0.000    1.542    0.514 _named_scope.py:108(wrapper)
        2    0.000    0.000    1.055    0.528 _state.py:606(normal)
        2    0.000    0.000    1.051    0.525 core.py:912(normal)
  689/536    0.005    0.000    0.818    0.002 core.py:682(bind)
  682/531    0.002    0.000    0.775    0.001 core.py:731(bind_with_trace)
       46    0.000    0.000    0.774    0.017 core.py:1307(process_primitive)
       42    0.005    0.000    0.515    0.012 dispatch.py:81(apply_primitive)
        1    0.000    0.000    0.487    0.487 _state.py:729(uniform)
        9    0.000    0.000    0.327    0.036 indexing.py:1080(rewriting_take)
        3    0.000    0.000    0.286    0.095 _state.py:273(__get_key)
        3    0.000    0.000    0.286    0.095 _state.py:203(split_key)
