         36521398 function calls (36405198 primitive calls) in 33.608 seconds

   Ordered by: cumulative time
   List reduced from 925 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   35.781   35.781 h01_event_profile.py:68(<lambda>)
        1    0.000    0.000   35.668   35.668 h01_network.py:220(make_h01_network)
        4    0.010    0.002   17.749    4.437 h01_ei_cell.py:86(make_h01_ei_cell)
        1    0.010    0.010   16.519   16.519 h01_network.py:163(_load_contact_cells)
        4    0.000    0.000   15.492    3.873 _node.py:40(__call__)
        4    0.000    0.000   15.492    3.873 cell.py:174(__init__)
        4    0.000    0.000   15.490    3.873 cell.py:444(cvs)
        4    0.000    0.000   15.490    3.873 h01_construction.py:1555(_discretization)
        4    0.000    0.000   15.485    3.871 cell.py:421(_discretization)
        4    0.008    0.002   15.485    3.871 base.py:427(build_discretization)
        4    0.135    0.034   15.477    3.869 base.py:471(_build_discretization_parts)
        4    0.167    0.042   11.415    2.854 h01.py:562(load)
        4    2.943    0.736    8.367    2.092 h01.py:166(_fast_build_morpho_from_rows)
        4    1.587    0.397    6.245    1.561 h01_construction.py:296(_fast_build_cv_geometry)
        4    2.575    0.644    6.088    1.522 h01_construction.py:625(_fast_build_node_tree)
        4    0.000    0.000    5.094    1.273 h01_network.py:31(_location)
       14    0.160    0.011    5.075    0.362 h01.py:121(anatomy)
        4    4.146    1.037    4.914    1.229 h01_anatomy.py:120(__init__)
        4    1.468    0.367    2.655    0.664 _h01_swc.py:25(normalize)
      140    0.766    0.005    2.620    0.019 h01_anatomy.py:24(_geometry_signature)
    96/24    0.096    0.001    2.296    0.096 region.py:195(evaluate)
        4    0.754    0.188    2.141    0.535 h01_ei_cell.py:28(_validate_regions)
       20    0.235    0.012    1.990    0.099 h01_discretization.py:31(resolve_cv_bounds)
    75609    0.027    0.000    1.624    0.000 base.py:496(<genexpr>)
   256237    0.255    0.000    1.614    0.000 fromnumeric.py:2304(sum)
