         27634082 function calls (27439422 primitive calls) in 23.094 seconds

   Ordered by: cumulative time
   List reduced from 1682 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   23.892   23.892 h01_event_profile.py:73(<lambda>)
        1    0.000    0.000   23.892   23.892 h01_network_init.py:101(init_h01_network_states)
        4    0.017    0.004   23.891    5.973 h01_construction.py:1580(init_state)
       56    0.001    0.000   15.201    0.271 h01_construction.py:1555(_discretization)
        4    0.000    0.000   15.194    3.798 cell.py:421(_discretization)
        4    0.035    0.009   15.194    3.798 base.py:427(build_discretization)
        4    0.132    0.033   15.158    3.790 base.py:471(_build_discretization_parts)
        4    3.823    0.956    5.328    1.332 h01_construction.py:625(_fast_build_node_tree)
        4    0.345    0.086    4.887    1.222 h01_construction.py:544(_fast_build_cv_mechanisms)
       12    0.000    0.000    3.346    0.279 _base_ion.py:327(init_state)
    67/63    0.000    0.000    3.340    0.053 traceback_util.py:191(reraise_with_filtered_traceback)
    60/56    0.001    0.000    3.338    0.060 pjit.py:257(cache_miss)
       60    0.001    0.000    3.246    0.054 pjit.py:133(_run_python_pjit)
       56    0.001    0.000    3.243    0.058 pjit.py:1169(_pjit_call_impl_python)
  293/236    0.003    0.000    3.149    0.013 profiler.py:417(wrapper)
       56    0.001    0.000    2.835    0.051 pxla.py:1230(compile)
       56    0.004    0.000    2.834    0.051 pxla.py:1707(from_hlo)
       56    0.001    0.000    2.812    0.050 pxla.py:1520(_cached_compilation)
       56    0.002    0.000    2.790    0.050 compiler.py:384(compile_or_get_cached)
       56    0.001    0.000    2.753    0.049 compiler.py:719(_compile_and_write_cache)
       56    2.749    0.049    2.749    0.049 compiler.py:289(backend_compile_and_load)
        4    0.298    0.074    2.722    0.680 h01_construction.py:954(_fast_from_cell)
    75609    0.031    0.000    2.381    0.000 base.py:496(<genexpr>)
    75605    0.478    0.000    2.350    0.000 h01_construction.py:870(_fast_assemble_cv)
    64/16    0.039    0.001    2.222    0.139 region.py:195(evaluate)
