         279799 function calls (261830 primitive calls) in 2.872 seconds

   Ordered by: cumulative time
   List reduced from 1605 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.874    2.874 h01_event_profile.py:87(<lambda>)
      2/1    0.000    0.000    2.874    2.874 _node.py:40(__call__)
        1    0.001    0.001    2.874    2.874 h01_arc_model.py:42(__init__)
   377/39    0.000    0.000    2.839    0.073 traceback_util.py:191(reraise_with_filtered_traceback)
   367/29    0.002    0.000    2.835    0.098 pjit.py:257(cache_miss)
   367/48    0.002    0.000    2.758    0.057 pjit.py:133(_run_python_pjit)
       29    0.001    0.000    2.753    0.095 pjit.py:1169(_pjit_call_impl_python)
  167/124    0.002    0.000    2.701    0.022 profiler.py:417(wrapper)
       29    0.000    0.000    2.407    0.083 pxla.py:1230(compile)
       29    0.002    0.000    2.407    0.083 pxla.py:1707(from_hlo)
       29    0.001    0.000    2.394    0.083 pxla.py:1520(_cached_compilation)
       29    0.001    0.000    2.382    0.082 compiler.py:384(compile_or_get_cached)
       29    0.000    0.000    2.357    0.081 compiler.py:719(_compile_and_write_cache)
       29    2.356    0.081    2.356    0.081 compiler.py:289(backend_compile_and_load)
        3    0.000    0.000    1.683    0.561 _named_scope.py:108(wrapper)
        2    0.000    0.000    1.086    0.543 _state.py:606(normal)
        2    0.000    0.000    1.081    0.541 core.py:912(normal)
  689/536    0.005    0.000    0.984    0.002 core.py:682(bind)
       46    0.000    0.000    0.939    0.020 core.py:1307(process_primitive)
  682/531    0.002    0.000    0.938    0.002 core.py:731(bind_with_trace)
       42    0.007    0.000    0.614    0.015 dispatch.py:81(apply_primitive)
        1    0.000    0.000    0.597    0.597 _state.py:729(uniform)
        9    0.000    0.000    0.407    0.045 indexing.py:1080(rewriting_take)
        3    0.000    0.000    0.353    0.118 _state.py:273(__get_key)
        3    0.000    0.000    0.353    0.118 _state.py:203(split_key)
