         4057775 function calls (3940430 primitive calls) in 3.496 seconds

   Ordered by: cumulative time
   List reduced from 2205 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    3.505    3.505 h01_arc_probe.py:38(<lambda>)
        1    0.000    0.000    3.504    3.504 sparse_pp_prop.py:88(compile_graph)
  5400/32    0.006    0.000    3.135    0.098 traceback_util.py:191(reraise_with_filtered_traceback)
        1    0.001    0.001    2.851    2.851 sparse_io_graph.py:58(__init__)
        1    0.000    0.000    2.471    2.471 module_info.py:521(extract_module_info)
  5207/18    0.049    0.000    2.430    0.135 pjit.py:635(_infer_params)
    47/18    0.005    0.000    2.426    0.135 pjit.py:484(_trace_for_jit)
     10/2    0.000    0.000    2.414    1.207 api.py:2133(make_jaxpr_f)
     11/2    0.000    0.000    2.412    1.206 pjit.py:310(jit_trace)
    89/18    0.000    0.000    2.412    0.134 partial_eval.py:2319(trace_to_jaxpr)
    89/18    0.003    0.000    2.412    0.134 partial_eval.py:2247(trace_to_jaxpr_nocache)
        1    0.000    0.000    2.410    2.410 module_info.py:148(abstractify_model)
      9/1    0.001    0.000    2.393    2.393 _make_jaxpr.py:884(make_jaxpr)
      9/1    0.000    0.000    2.384    2.384 _make_jaxpr.py:814(_wrapped_fun_to_eval)
        1    0.000    0.000    2.382    2.382 module_info.py:54(_model_that_not_allow_param_assign)
        1    0.000    0.000    2.382    2.382 _module.py:242(__call__)
        1    0.003    0.003    2.382    2.382 h01_arc_model.py:144(update)
        1    0.000    0.000    2.372    2.372 _loop_collect_return.py:487(for_loop)
        1    0.000    0.000    2.372    2.372 _loop_collect_return.py:58(scan)
        1    0.000    0.000    2.331    2.331 _loop_collect_return.py:480(scan_fun)
        1    0.000    0.000    2.331    2.331 _grad_checkpoint.py:168(remat_fun)
18698/13816    0.119    0.000    2.214    0.000 core.py:682(bind)
19516/13772    0.038    0.000    2.044    0.000 core.py:731(bind_with_trace)
     34/9    0.000    0.000    1.946    0.216 _make_jaxpr.py:378(get_arg_cache_key)
      8/2    0.000    0.000    1.944    0.972 _make_jaxpr.py:633(get_state_trace)
