         5530039 function calls (5320817 primitive calls) in 12.999 seconds

   Ordered by: cumulative time
   List reduced from 2701 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   13.015   13.015 h01_event_profile.py:90(<lambda>)
   5615/5    0.006    0.000   13.008    2.602 traceback_util.py:191(reraise_with_filtered_traceback)
        1    0.000    0.000   12.956   12.956 _jit.py:125(jitted_fn)
5388/5233    0.020    0.000   10.664    0.002 pjit.py:257(cache_miss)
5388/5273    0.025    0.000   10.177    0.002 pjit.py:133(_run_python_pjit)
        2    0.000    0.000    9.673    4.837 pjit.py:1169(_pjit_call_impl_python)
   145/54    0.001    0.000    9.360    0.173 profiler.py:417(wrapper)
        2    0.000    0.000    8.084    4.042 pxla.py:1230(compile)
        2    0.000    0.000    8.084    4.042 pxla.py:1707(from_hlo)
        2    0.000    0.000    8.078    4.039 pxla.py:1520(_cached_compilation)
        2    0.000    0.000    8.077    4.039 compiler.py:384(compile_or_get_cached)
        2    0.000    0.000    7.966    3.983 compiler.py:719(_compile_and_write_cache)
        2    7.458    3.729    7.458    3.729 compiler.py:289(backend_compile_and_load)
   517/67    0.001    0.000    3.381    0.050 partial_eval.py:2319(trace_to_jaxpr)
   517/67    0.013    0.000    3.381    0.050 partial_eval.py:2247(trace_to_jaxpr_nocache)
 5403/111    0.051    0.000    3.370    0.030 pjit.py:635(_infer_params)
   433/36    0.022    0.000    3.364    0.093 pjit.py:484(_trace_for_jit)
     41/2    0.000    0.000    3.318    1.659 _make_jaxpr.py:378(get_arg_cache_key)
     11/1    0.000    0.000    3.317    3.317 _make_jaxpr.py:633(get_state_trace)
     11/1    0.001    0.000    3.317    3.317 _make_jaxpr.py:884(make_jaxpr)
     11/1    0.000    0.000    3.314    3.314 api.py:2133(make_jaxpr_f)
     15/1    0.000    0.000    3.313    3.313 pjit.py:310(jit_trace)
     11/1    0.000    0.000    3.308    3.308 _make_jaxpr.py:814(_wrapped_fun_to_eval)
        1    0.000    0.000    3.305    3.305 h01_arc_model.py:179(step)
        1    0.000    0.000    3.305    3.305 _conditions.py:37(cond)
