         36521329 function calls (36405131 primitive calls) in 30.106 seconds

   Ordered by: cumulative time
   List reduced from 916 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   31.579   31.579 h01_event_profile.py:68(<lambda>)
        1    0.000    0.000   31.472   31.472 h01_network.py:220(make_h01_network)
        4    0.005    0.001   15.375    3.844 h01_ei_cell.py:86(make_h01_ei_cell)
        1    0.006    0.006   14.174   14.174 h01_network.py:163(_load_contact_cells)
        4    0.000    0.000   13.464    3.366 _node.py:40(__call__)
        4    0.000    0.000   13.464    3.366 cell.py:174(__init__)
        4    0.000    0.000   13.463    3.366 cell.py:444(cvs)
        4    0.000    0.000   13.463    3.366 h01_construction.py:1556(_discretization)
        4    0.000    0.000   13.461    3.365 cell.py:421(_discretization)
        4    0.006    0.002   13.461    3.365 base.py:427(build_discretization)
        4    0.086    0.022   13.454    3.364 base.py:471(_build_discretization_parts)
        4    0.095    0.024   10.008    2.502 h01.py:562(load)
        4    2.663    0.666    7.511    1.878 h01.py:166(_fast_build_morpho_from_rows)
        4    1.467    0.367    5.809    1.452 h01_construction.py:297(_fast_build_cv_geometry)
        4    0.000    0.000    4.160    1.040 h01_network.py:31(_location)
       14    0.102    0.007    4.143    0.296 h01.py:121(anatomy)
        4    1.956    0.489    4.100    1.025 h01_construction.py:626(_fast_build_node_tree)
        4    3.339    0.835    4.040    1.010 h01_anatomy.py:120(__init__)
    96/24    0.068    0.001    2.710    0.113 region.py:195(evaluate)
      140    0.737    0.005    2.463    0.018 h01_anatomy.py:24(_geometry_signature)
       20    0.206    0.010    2.461    0.123 h01_discretization.py:31(resolve_cv_bounds)
        4    1.085    0.271    2.192    0.548 _h01_swc.py:25(normalize)
    75609    0.027    0.000    1.852    0.000 base.py:496(<genexpr>)
    75605    1.139    0.000    1.825    0.000 h01_construction.py:871(_fast_assemble_cv)
        4    0.479    0.120    1.708    0.427 h01_ei_cell.py:28(_validate_regions)
