         27709689 function calls (27515029 primitive calls) in 19.763 seconds

   Ordered by: cumulative time
   List reduced from 1682 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   20.577   20.577 h01_event_profile.py:73(<lambda>)
        1    0.000    0.000   20.577   20.577 h01_network_init.py:101(init_h01_network_states)
        4    0.010    0.002   20.576    5.144 h01_construction.py:1580(init_state)
       56    0.000    0.000   12.718    0.227 h01_construction.py:1555(_discretization)
        4    0.000    0.000   12.712    3.178 cell.py:421(_discretization)
        4    0.023    0.006   12.712    3.178 base.py:427(build_discretization)
        4    0.090    0.022   12.689    3.172 base.py:471(_build_discretization_parts)
        4    0.304    0.076    3.450    0.862 h01_construction.py:544(_fast_build_cv_mechanisms)
        4    1.928    0.482    3.361    0.840 h01_construction.py:625(_fast_build_node_tree)
       12    0.000    0.000    3.001    0.250 _base_ion.py:327(init_state)
    67/63    0.000    0.000    2.970    0.047 traceback_util.py:191(reraise_with_filtered_traceback)
    60/56    0.001    0.000    2.968    0.053 pjit.py:257(cache_miss)
       60    0.001    0.000    2.882    0.048 pjit.py:133(_run_python_pjit)
       56    0.001    0.000    2.879    0.051 pjit.py:1169(_pjit_call_impl_python)
    75609    0.027    0.000    2.829    0.000 base.py:496(<genexpr>)
    75605    1.387    0.000    2.802    0.000 h01_construction.py:870(_fast_assemble_cv)
  293/236    0.003    0.000    2.798    0.012 profiler.py:417(wrapper)
    64/16    0.031    0.000    2.781    0.174 region.py:195(evaluate)
        4    0.259    0.065    2.529    0.632 h01_construction.py:954(_fast_from_cell)
       56    0.001    0.000    2.507    0.045 pxla.py:1230(compile)
       56    0.003    0.000    2.506    0.045 pxla.py:1707(from_hlo)
       56    0.001    0.000    2.488    0.044 pxla.py:1520(_cached_compilation)
       56    0.002    0.000    2.469    0.044 compiler.py:384(compile_or_get_cached)
       56    0.001    0.000    2.436    0.044 compiler.py:719(_compile_and_write_cache)
       56    2.434    0.043    2.434    0.043 compiler.py:289(backend_compile_and_load)
