User,Date,Slice,Cluster,SpikeCh,ResponseCh,Type,Base_Vm,Latency,DecayTime,Amplitude,Risetime,species,File/folder name
NGA,20151104,3,6,IN0,IN2,EXC,-70.49045837,1.3,14.91300182,1.010925764,1.32,Human,2015_11_04_0076.abf
NGA,20151104,3,6,IN3,IN2,EXC,-69.97211823,1.54,6.430426979,0.305727637,4.88,Human,2015_11_04_0077.abf
NGA,20160413,2,2,IN0,IN2,EXC,-64.00465296,0.6,9.680983364,0.606063997,0.7,Human,2016_04_13_0025.abf
NGA,20160622,2,2,IN2,IN3,EXC,-66.46955329,0.9,12.75119324,4.662450996,1.58,Human,2016_06_22_0010.abf
NGA,20160831,5,5,IN1,IN3,EXC,-70.47134194,1.2,14.98074598,1.352399591,0.68,Human,2016_06_22_0072.abf
NGA,20161005,4,5,IN1,IN0,EXC,-59.92932892,1,33.25663785,1.215542908,1.16,Human,2016_08_31_0054.abf
NGA,20161005,4,5,IN2,IN0,EXC,-56.77969098,1.3,7.08511667,0.242494307,5.34,Human,2016_10_05_0112.abf
NGA,20161123,3,4,IN3,IN0,EXC,-67.1209796,1.2,8.019503223,0.572557104,0.84,Human,2016_10_05_0116.abf
NGA,20170201,2,2,IN1,IN2,EXC,-64.17054028,1.5,34.1767963,2.214543346,1.48,Human,2016_11_23_0113.abf
NGA,20170201,2,2,IN3,IN2,EXC,-62.0696806,0.8,59.5017964,4.04616157,2.46,Human,2017_02_01_0024.abf
RWS,20170201,3,3,IN2,IN3,EXC,-71.74233951,1.2,12.09575177,4.119789732,1.5,Human,2017_02_01_0020.abf
RWS,200318,42,2,AD3,AD0,EXC,-70.3263683,1.1,12.60296244,2.328243727,2.18,Mouse,M20.29.23072.42.02.nwb
RWS,200529,41,1,AD1,AD3,EXC,-70.80893267,1.2,16.92927256,2.487963113,1.86,Mouse,M20.29.24313.41.01.nwb
RWS,200603,41,1,AD3,AD1,EXC,-68.90821037,0.6,7.451869248,2.574002952,0.88,Mouse,M20.29.24248.41.01.nwb
RWS,200605,42,2,AD0,AD1,EXC,-70.00603558,0.8,6.699192967,1.393825026,1.5,Mouse,M20.29.24250.42.02.nwb
RWS,200605,42,2,AD3,AD1,EXC,-70.25391886,0.98,6.942661528,0.801689906,1.36,Mouse,M20.29.24250.42.02.nwb
RWS,200605,43,3,AD0,AD1,EXC,-70.1472363,1.66,23.20184941,0.692035426,1.56,Mouse,M20.29.24250.43.03.nwb
RWS,200608,41,1,AD1,AD3,EXC,-70.21908998,1.45,15.28045483,3.184292118,2.1,Mouse,M20.29.24311.41.01.nwb
RWS,200608,43,4,AD2,AD1,EXC,-70.63963242,0.95,15.83442558,1.040467308,2.82,Mouse,M20.29.24311.43.04.nwb
RWS,200608,43,4,AD3,AD1,EXC,-70.73744728,0.75,11.10337013,0.936847451,1.36,Mouse,M20.29.24311.43.04.nwb
RWS,200608,44,5,AD3,AD1,EXC,-62.77668547,1.1,3.172924018,1.095127023,0.82,Mouse,M20.29.24311.44.05.nwb
RWS,200610,41,1,AD0,AD1,EXC,-71.15269708,1.35,14.63354469,0.57212805,1.74,Mouse,M20.29.24313.41.01.nwb
RWS,200610,41,1,AD2,AD1,EXC,-70.86735852,1.19,61.49446726,0.221638122,1.24,Mouse,M20.29.24313.41.01.nwb
RWS,20200219,1,1,IN2,IN0,EXC,-67.49826423,0.9,11.76451241,1.56666524,1.6,Mouse,
RWS,20200219,1,1,IN3,IN0,EXC,-67.45012093,1.4,14.23279372,3.349337645,1.5,Mouse,
RWS,20200224,1,1,IN0,IN3,EXC,-65.57389033,0.5,10.60819735,2.154215099,1.4,Mouse,
AIBS,<Cell 1565755708.104 3>,NaN,NaN,NaN,NaN,EXC,NaN,2.456492688,12.2607112,0.068756726,1.930272441,Human,AIBS database
AIBS,<Cell 1507690323.707 6>,NaN,NaN,NaN,NaN,EXC,NaN,1.548842558,18.69858763,0.813803607,3.513483809,Human,AIBS database
AIBS,<Cell 1533702581.656 4>,NaN,NaN,NaN,NaN,EXC,NaN,1.273907062,7.021193733,1.095734937,1.171525776,Human,AIBS database
AIBS,<Cell 1546999134.747 4>,NaN,NaN,NaN,NaN,EXC,NaN,0.932327062,18.41669479,1.443791093,1.727581773,Human,AIBS database
AIBS,<Cell 1560909931.659 4>,NaN,NaN,NaN,NaN,EXC,NaN,1.137511943,17.63379722,4.236177875,2.658573128,Human,AIBS database
AIBS,<Cell 1527709461.137 1>,NaN,NaN,NaN,NaN,EXC,NaN,2.139322319,13.35430471,0.1875282,3.026162827,Mouse,AIBS database
AIBS,<Cell 1530304502.023 2>,NaN,NaN,NaN,NaN,EXC,NaN,1.477054599,84.41474924,0.063942201,2.027303438,Mouse,AIBS database
AIBS,<Cell 1534372643.843 5>,NaN,NaN,NaN,NaN,EXC,NaN,0.893277977,15.64252303,0.059899559,2.879418383,Mouse,AIBS database
AIBS,<Cell 1534802671.146 5>,NaN,NaN,NaN,NaN,EXC,NaN,0.975100531,5,0.232549221,1.939685956,Mouse,AIBS database
AIBS,<Cell 1554239387.229 2>,,NaN,NaN,NaN,EXC,NaN,1.259040537,12.31808525,0.1806686,2.085281921,Mouse,AIBS database
AIBS,<Cell 1554239387.229 3>,,NaN,NaN,NaN,EXC,NaN,1.044294985,13.22011595,0.250908436,2.342875854,Mouse,AIBS database
AIBS,<Cell 1556746729.253 3>,,NaN,NaN,NaN,EXC,NaN,1.051476686,13.38974757,1.837010135,3.060594933,Mouse,AIBS database
,<Cell 1557178633.726 3>,,NaN,NaN,NaN,EXC,NaN,1.446417883,5.946153399,0.776384152,1.081505839,Mouse,AIBS database
