time_ms,soma_mv,path100_mv,path200_mv,path300_mv,path400_mv,contact_mv
0.005,-80.0049717799,-80.0059464479,-80.0059818281,-80.006092122,-80.0059627207,-80.0060591162
0.01,-80.0099487854,-80.0118764774,-80.0119697382,-80.012139136,-80.0119147241,-80.0120420953
0.015,-80.0149279937,-80.0178002983,-80.0179502094,-80.0181657097,-80.0178771258,-80.0180097069
0.02,-80.0199075632,-80.0237200132,-80.0239228184,-80.0241802096,-80.0238470747,-80.0239735035
0.025,-80.0248864048,-80.0296352212,-80.0298879984,-80.0301858886,-80.0298214925,-80.029937442
0.03,-80.029863855,-80.0355453902,-80.0358461478,-80.0361842028,-80.0357981396,-80.0359026198
0.035,-80.0348394891,-80.0414501305,-80.0417975621,-80.0421758804,-80.0417754017,-80.041868941
0.04,-80.0398130209,-80.0473491678,-80.047742457,-80.0481613301,-80.0477520719,-80.0478358304
0.045,-80.0447842496,-80.0532422942,-80.053680992,-80.0541408091,-80.0537272183,-80.0538025647
0.05,-80.0497530284,-80.0591293353,-80.0596132857,-80.060114496,-80.0597001071,-80.059768423
0.055,-80.0547192474,-80.0650101321,-80.0655394272,-80.0660825228,-80.0656701538,-80.0657327514
0.06,-80.0596828218,-80.0708845325,-80.0714594841,-80.0720449916,-80.0716368898,-80.0716949834
0.065,-80.0646436853,-80.076752388,-80.0773735084,-80.0780019825,-80.0775999378,-80.0776546404
0.07,-80.0696017847,-80.0826135535,-80.0832815414,-80.0839535587,-80.0835589931,-80.0836113237
0.075,-80.0745570771,-80.0884678886,-80.0891836171,-80.0898997703,-80.0895138093,-80.0895647036
0.08,-80.079509527,-80.094315259,-80.0950797646,-80.0958406562,-80.0954641868,-80.0955145078
0.085,-80.0844591048,-80.100155538,-80.1009700099,-80.1017762469,-80.1014099636,-80.1014605114
0.09,-80.0894057859,-80.105988608,-80.1068543773,-80.1077065652,-80.1073510082,-80.1074025279
0.095,-80.0943495489,-80.1118143611,-80.11273289,-80.1136316282,-80.1132872137,-80.1133404022
0.1,-80.0992903758,-80.1176326995,-80.1186055706,-80.119551448,-80.1192184934,-80.1192740042
0.105,-80.1042282506,-80.1234435364,-80.1244724418,-80.125466033,-80.1251447766,-80.1252032241
0.11,-80.1091631595,-80.1292467954,-80.1303335261,-80.1313753882,-80.1310660059,-80.1311279687
0.115,-80.1140950902,-80.1350424104,-80.1361888462,-80.1372795165,-80.1369821348,-80.1370481579
0.12,-80.1190240318,-80.1408303252,-80.1420384251,-80.1431784184,-80.1428931256,-80.1429637224
0.125,-80.1239499746,-80.1466104931,-80.1478822858,-80.149072093,-80.1487989475,-80.1488746019
0.13,-80.1288729097,-80.1523828763,-80.1537204515,-80.1549605384,-80.1546995761,-80.1547807431
0.135,-80.1337928291,-80.1581474453,-80.1595529455,-80.1608437517,-80.1605949913,-80.1606820992
0.14,-80.1387097255,-80.1639041782,-80.1653797911,-80.1667217291,-80.1664851775,-80.166578628
0.145,-80.1436235923,-80.16965306,-80.1712010115,-80.1725944669,-80.172370122,-80.1724702918
0.15,-80.1485344234,-80.1753940822,-80.1770166299,-80.1784619605,-80.178249815,-80.1783570565
0.155,-80.153442213,-80.1811272421,-80.1828266694,-80.1843242057,-80.1841242489,-80.1842388911
0.16,-80.1583469559,-80.1868525424,-80.1886311527,-80.1901811979,-80.1899934178,-80.1901157675
0.165,-80.1632486474,-80.1925699902,-80.1944301024,-80.1960329326,-80.1958573177,-80.1959876599
0.17,-80.168147283,-80.1982795971,-80.2002235408,-80.2018794055,-80.2017159455,-80.2018545446
0.175,-80.1730428584,-80.2039813784,-80.2060114899,-80.2077206123,-80.2075692995,-80.2077163999
0.18,-80.1779353698,-80.2096753528,-80.2117939712,-80.2135565491,-80.2134173787,-80.2135732058
0.185,-80.1828248136,-80.215361542,-80.217571006,-80.2193872119,-80.219260183,-80.2194249441
0.19,-80.1877111863,-80.2210399701,-80.2233426151,-80.2252125972,-80.2250977129,-80.2252715978
0.195,-80.1925944849,-80.2267106638,-80.229108819,-80.2310327017,-80.2309299695,-80.2311131514
0.2,-80.1974747063,-80.2323736518,-80.2348696375,-80.2368475222,-80.2367569544,-80.2369495907
0.205,-80.2023518479,-80.2380289642,-80.2406250903,-80.242657056,-80.2425786694,-80.2427809025
0.21,-80.2072259069,-80.243676633,-80.2463751963,-80.2484613004,-80.2483951171,-80.2486070749
0.215,-80.2120968811,-80.2493166914,-80.2521199743,-80.2542602533,-80.2542063,-80.254428097
0.22,-80.2169647681,-80.2549491735,-80.2578594422,-80.2600539125,-80.260012221,-80.2602439587
