         35158497 function calls (35042289 primitive calls) in 35.159 seconds

   Ordered by: cumulative time
   List reduced from 910 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   36.770   36.770 h01_event_profile.py:67(<lambda>)
        1    0.000    0.000   36.659   36.659 h01_network.py:220(make_h01_network)
        4    0.007    0.002   17.715    4.429 h01_ei_cell.py:86(make_h01_ei_cell)
        1    0.009    0.009   17.410   17.410 h01_network.py:163(_load_contact_cells)
        4    0.000    0.000   15.563    3.891 _node.py:40(__call__)
        4    0.000    0.000   15.563    3.891 cell.py:174(__init__)
        4    0.000    0.000   15.561    3.890 cell.py:444(cvs)
        4    0.000    0.000   15.561    3.890 h01_construction.py:1551(_discretization)
        4    0.000    0.000   15.558    3.890 cell.py:421(_discretization)
        4    0.011    0.003   15.558    3.890 base.py:427(build_discretization)
        4    0.107    0.027   15.548    3.887 base.py:471(_build_discretization_parts)
        4    0.132    0.033   12.118    3.030 h01.py:562(load)
        4    2.914    0.729    9.041    2.260 h01.py:166(_fast_build_morpho_from_rows)
        4    1.673    0.418    6.168    1.542 h01_construction.py:298(_fast_build_cv_geometry)
        4    0.000    0.000    5.282    1.321 h01_network.py:31(_location)
       14    0.122    0.009    5.264    0.376 h01.py:121(anatomy)
        4    4.297    1.074    5.142    1.285 h01_anatomy.py:120(__init__)
        4    2.469    0.617    4.512    1.128 h01_construction.py:621(_fast_build_node_tree)
    75609    0.031    0.000    3.298    0.000 base.py:496(<genexpr>)
    75605    2.480    0.000    3.267    0.000 h01_construction.py:866(_fast_assemble_cv)
      140    0.860    0.006    2.919    0.021 h01_anatomy.py:24(_geometry_signature)
        4    1.385    0.346    2.712    0.678 _h01_swc.py:25(normalize)
    96/24    0.087    0.001    2.464    0.103 region.py:195(evaluate)
       20    0.241    0.012    2.137    0.107 h01_discretization.py:31(resolve_cv_bounds)
        4    0.580    0.145    2.047    0.512 h01_ei_cell.py:28(_validate_regions)
