         32294226 function calls (32099566 primitive calls) in 26.802 seconds

   Ordered by: cumulative time
   List reduced from 1703 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   28.330   28.330 h01_event_profile.py:72(<lambda>)
        1    0.000    0.000   28.330   28.330 h01_network_init.py:101(init_h01_network_states)
        4    0.012    0.003   28.329    7.082 h01_construction.py:1576(init_state)
       56    0.000    0.000   19.946    0.356 h01_construction.py:1551(_discretization)
        4    0.000    0.000   19.940    4.985 cell.py:421(_discretization)
        4    0.024    0.006   19.940    4.985 base.py:427(build_discretization)
        4    0.101    0.025   19.915    4.979 base.py:471(_build_discretization_parts)
        4    1.558    0.390    6.332    1.583 h01_construction.py:298(_fast_build_cv_geometry)
        4    2.301    0.575    4.787    1.197 h01_construction.py:621(_fast_build_node_tree)
        4    0.327    0.082    3.762    0.940 h01_construction.py:540(_fast_build_cv_mechanisms)
    64/16    0.036    0.001    3.113    0.195 region.py:195(evaluate)
       12    0.000    0.000    2.966    0.247 _base_ion.py:327(init_state)
    67/63    0.000    0.000    2.963    0.047 traceback_util.py:191(reraise_with_filtered_traceback)
    60/56    0.001    0.000    2.961    0.053 pjit.py:257(cache_miss)
       60    0.001    0.000    2.872    0.048 pjit.py:133(_run_python_pjit)
       56    0.001    0.000    2.868    0.051 pjit.py:1169(_pjit_call_impl_python)
        4    0.283    0.071    2.822    0.706 h01_construction.py:950(_fast_from_cell)
  293/236    0.003    0.000    2.785    0.012 profiler.py:417(wrapper)
        4    0.112    0.028    2.678    0.670 h01_discretization.py:31(resolve_cv_bounds)
       56    0.001    0.000    2.485    0.044 pxla.py:1230(compile)
       56    0.003    0.000    2.484    0.044 pxla.py:1707(from_hlo)
       56    0.001    0.000    2.465    0.044 pxla.py:1520(_cached_compilation)
       56    0.002    0.000    2.445    0.044 compiler.py:384(compile_or_get_cached)
       56    0.001    0.000    2.412    0.043 compiler.py:719(_compile_and_write_cache)
       56    2.410    0.043    2.410    0.043 compiler.py:289(backend_compile_and_load)
