         281084 function calls (263115 primitive calls) in 2.596 seconds

   Ordered by: cumulative time
   List reduced from 1605 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.598    2.598 h01_event_profile.py:78(<lambda>)
      2/1    0.000    0.000    2.598    2.598 _node.py:40(__call__)
        1    0.001    0.001    2.598    2.598 h01_arc_model.py:42(__init__)
   377/39    0.000    0.000    2.569    0.066 traceback_util.py:191(reraise_with_filtered_traceback)
   367/29    0.002    0.000    2.566    0.088 pjit.py:257(cache_miss)
   367/48    0.002    0.000    2.489    0.052 pjit.py:133(_run_python_pjit)
       29    0.001    0.000    2.484    0.086 pjit.py:1169(_pjit_call_impl_python)
  167/124    0.001    0.000    2.436    0.020 profiler.py:417(wrapper)
       29    0.000    0.000    2.151    0.074 pxla.py:1230(compile)
       29    0.002    0.000    2.151    0.074 pxla.py:1707(from_hlo)
       29    0.001    0.000    2.141    0.074 pxla.py:1520(_cached_compilation)
       29    0.001    0.000    2.130    0.073 compiler.py:384(compile_or_get_cached)
       29    0.000    0.000    2.109    0.073 compiler.py:719(_compile_and_write_cache)
       29    2.107    0.073    2.107    0.073 compiler.py:289(backend_compile_and_load)
        3    0.000    0.000    1.573    0.524 _named_scope.py:108(wrapper)
        2    0.000    0.000    1.019    0.509 _state.py:606(normal)
        2    0.000    0.000    1.014    0.507 core.py:912(normal)
  689/536    0.005    0.000    0.872    0.002 core.py:682(bind)
  682/531    0.002    0.000    0.826    0.002 core.py:731(bind_with_trace)
       46    0.000    0.000    0.823    0.018 core.py:1307(process_primitive)
        1    0.000    0.000    0.554    0.554 _state.py:729(uniform)
       42    0.006    0.000    0.535    0.013 dispatch.py:81(apply_primitive)
        9    0.000    0.000    0.362    0.040 indexing.py:1080(rewriting_take)
        3    0.000    0.000    0.319    0.106 _state.py:273(__get_key)
        3    0.000    0.000    0.319    0.106 _state.py:203(split_key)
