         3510918 function calls (3410269 primitive calls) in 3.163 seconds

   Ordered by: cumulative time
   List reduced from 2098 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    3.171    3.171 h01_arc_probe.py:38(<lambda>)
        1    0.000    0.000    3.170    3.170 sparse_pp_prop.py:88(compile_graph)
  4884/32    0.005    0.000    2.792    0.087 traceback_util.py:191(reraise_with_filtered_traceback)
        1    0.001    0.001    2.422    2.422 sparse_io_graph.py:58(__init__)
        1    0.000    0.000    2.040    2.040 module_info.py:521(extract_module_info)
  4731/18    0.042    0.000    1.994    0.111 pjit.py:635(_infer_params)
    47/18    0.004    0.000    1.991    0.111 pjit.py:484(_trace_for_jit)
    85/18    0.000    0.000    1.976    0.110 partial_eval.py:2319(trace_to_jaxpr)
    85/18    0.003    0.000    1.975    0.110 partial_eval.py:2247(trace_to_jaxpr_nocache)
     10/2    0.000    0.000    1.975    0.988 api.py:2133(make_jaxpr_f)
        1    0.000    0.000    1.974    1.974 module_info.py:148(abstractify_model)
     11/2    0.000    0.000    1.974    0.987 pjit.py:310(jit_trace)
13966/12804    0.090    0.000    1.973    0.000 core.py:682(bind)
      9/1    0.000    0.000    1.955    1.955 _make_jaxpr.py:884(make_jaxpr)
      9/1    0.000    0.000    1.946    1.946 _make_jaxpr.py:814(_wrapped_fun_to_eval)
        1    0.000    0.000    1.944    1.944 module_info.py:54(_model_that_not_allow_param_assign)
        1    0.000    0.000    1.944    1.944 _module.py:242(__call__)
        1    0.002    0.002    1.944    1.944 h01_arc_model.py:144(update)
        1    0.000    0.000    1.935    1.935 _loop_collect_return.py:487(for_loop)
        1    0.000    0.000    1.935    1.935 _loop_collect_return.py:58(scan)
        1    0.000    0.000    1.895    1.895 _loop_collect_return.py:480(scan_fun)
        1    0.000    0.000    1.895    1.895 _grad_checkpoint.py:168(remat_fun)
14776/12752    0.030    0.000    1.813    0.000 core.py:731(bind_with_trace)
     34/9    0.000    0.000    1.514    0.168 _make_jaxpr.py:378(get_arg_cache_key)
      8/2    0.000    0.000    1.511    0.756 _make_jaxpr.py:633(get_state_trace)
