         36597244 function calls (36481033 primitive calls) in 31.202 seconds

   Ordered by: cumulative time
   List reduced from 932 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   32.701   32.701 h01_event_profile.py:68(<lambda>)
        1    0.000    0.000   32.595   32.595 h01_network.py:220(make_h01_network)
        4    0.005    0.001   15.889    3.972 h01_ei_cell.py:86(make_h01_ei_cell)
        1    0.007    0.007   14.805   14.805 h01_network.py:163(_load_contact_cells)
        4    0.000    0.000   13.890    3.472 _node.py:40(__call__)
        4    0.000    0.000   13.890    3.472 cell.py:174(__init__)
        4    0.000    0.000   13.889    3.472 cell.py:444(cvs)
        4    0.000    0.000   13.889    3.472 h01_construction.py:1556(_discretization)
        4    0.000    0.000   13.885    3.471 cell.py:421(_discretization)
        4    0.007    0.002   13.885    3.471 base.py:427(build_discretization)
        4    0.088    0.022   13.879    3.470 base.py:471(_build_discretization_parts)
        4    0.120    0.030   10.370    2.593 h01.py:562(load)
        4    2.544    0.636    7.575    1.894 h01.py:166(_fast_build_morpho_from_rows)
        4    1.486    0.371    5.855    1.464 h01_construction.py:297(_fast_build_cv_geometry)
        4    0.000    0.000    4.428    1.107 h01_network.py:31(_location)
       14    0.118    0.008    4.410    0.315 h01.py:121(anatomy)
        4    2.436    0.609    4.306    1.077 h01_construction.py:626(_fast_build_node_tree)
        4    3.568    0.892    4.292    1.073 h01_anatomy.py:120(__init__)
    96/24    0.078    0.001    2.662    0.111 region.py:195(evaluate)
      140    0.742    0.005    2.481    0.018 h01_anatomy.py:24(_geometry_signature)
        4    1.322    0.330    2.457    0.614 _h01_swc.py:25(normalize)
       20    0.219    0.011    2.429    0.121 h01_discretization.py:31(resolve_cv_bounds)
    75609    0.026    0.000    1.890    0.000 base.py:496(<genexpr>)
    75605    1.167    0.000    1.863    0.000 h01_construction.py:871(_fast_assemble_cv)
        4    0.523    0.131    1.785    0.446 h01_ei_cell.py:28(_validate_regions)
