         27710175 function calls (27515515 primitive calls) in 22.652 seconds

   Ordered by: cumulative time
   List reduced from 1685 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   24.120   24.120 h01_event_profile.py:73(<lambda>)
        1    0.000    0.000   24.120   24.120 h01_network_init.py:101(init_h01_network_states)
        4    0.010    0.003   24.119    6.030 h01_construction.py:1581(init_state)
       56    0.000    0.000   14.792    0.264 h01_construction.py:1556(_discretization)
        4    0.000    0.000   14.785    3.696 cell.py:421(_discretization)
        4    0.026    0.007   14.785    3.696 base.py:427(build_discretization)
        4    0.106    0.027   14.759    3.690 base.py:471(_build_discretization_parts)
        4    3.570    0.892    5.715    1.429 h01_construction.py:626(_fast_build_node_tree)
        4    0.394    0.098    4.312    1.078 h01_construction.py:545(_fast_build_cv_mechanisms)
       12    0.000    0.000    3.129    0.261 _base_ion.py:327(init_state)
    67/63    0.000    0.000    3.128    0.050 traceback_util.py:191(reraise_with_filtered_traceback)
    60/56    0.001    0.000    3.125    0.056 pjit.py:257(cache_miss)
       60    0.001    0.000    3.042    0.051 pjit.py:133(_run_python_pjit)
       56    0.001    0.000    3.039    0.054 pjit.py:1169(_pjit_call_impl_python)
  293/236    0.003    0.000    2.956    0.013 profiler.py:417(wrapper)
       56    0.001    0.000    2.672    0.048 pxla.py:1230(compile)
       56    0.003    0.000    2.671    0.048 pxla.py:1707(from_hlo)
       56    0.001    0.000    2.652    0.047 pxla.py:1520(_cached_compilation)
       56    0.002    0.000    2.633    0.047 compiler.py:384(compile_or_get_cached)
       56    0.001    0.000    2.600    0.046 compiler.py:719(_compile_and_write_cache)
       56    2.598    0.046    2.598    0.046 compiler.py:289(backend_compile_and_load)
        4    0.271    0.068    2.575    0.644 h01_construction.py:955(_fast_from_cell)
   208693    1.361    0.000    2.174    0.000 h01_construction.py:798(_fast_coverage_fraction)
    75609    0.034    0.000    2.150    0.000 base.py:496(<genexpr>)
    75605    0.511    0.000    2.116    0.000 h01_construction.py:871(_fast_assemble_cv)
