         27634736 function calls (27440016 primitive calls) in 19.781 seconds

   Ordered by: cumulative time
   List reduced from 1686 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   20.571   20.571 h01_event_profile.py:73(<lambda>)
        1    0.000    0.000   20.571   20.571 h01_network_init.py:101(init_h01_network_states)
        4    0.010    0.002   20.570    5.143 h01_construction.py:1615(init_state)
       56    0.000    0.000   11.975    0.214 h01_construction.py:1590(_discretization)
        4    0.000    0.000   11.968    2.992 cell.py:421(_discretization)
        4    0.024    0.006   11.967    2.992 base.py:427(build_discretization)
        4    0.089    0.022   11.943    2.986 base.py:471(_build_discretization_parts)
        4    0.303    0.076    4.372    1.093 h01_construction.py:545(_fast_build_cv_mechanisms)
        4    2.149    0.537    3.579    0.895 h01_construction.py:626(_fast_build_node_tree)
       12    0.000    0.000    2.998    0.250 _base_ion.py:327(init_state)
    67/63    0.000    0.000    2.964    0.047 traceback_util.py:191(reraise_with_filtered_traceback)
    60/56    0.001    0.000    2.962    0.053 pjit.py:257(cache_miss)
       60    0.001    0.000    2.880    0.048 pjit.py:133(_run_python_pjit)
       56    0.001    0.000    2.877    0.051 pjit.py:1169(_pjit_call_impl_python)
  293/236    0.003    0.000    2.795    0.012 profiler.py:417(wrapper)
        4    0.263    0.066    2.517    0.629 h01_construction.py:955(_fast_from_cell)
       56    0.001    0.000    2.502    0.045 pxla.py:1230(compile)
       56    0.003    0.000    2.501    0.045 pxla.py:1707(from_hlo)
       56    0.001    0.000    2.484    0.044 pxla.py:1520(_cached_compilation)
       56    0.002    0.000    2.464    0.044 compiler.py:384(compile_or_get_cached)
       56    0.000    0.000    2.431    0.043 compiler.py:719(_compile_and_write_cache)
       56    2.428    0.043    2.429    0.043 compiler.py:289(backend_compile_and_load)
    75609    0.026    0.000    2.108    0.000 base.py:496(<genexpr>)
    75605    0.399    0.000    2.082    0.000 h01_construction.py:871(_fast_assemble_cv)
   208693    1.276    0.000    2.030    0.000 h01_construction.py:798(_fast_coverage_fraction)
